srr	rc	offset	p	fdr
SRR1610258	27	12	6.31311758845571e-07	2.8133841971118e-06
SRR1585522	33	12	6.36625715887037e-07	2.83498845515435e-06
SRR1758393	26	12	6.50519102148701e-07	2.89473862353368e-06
SRR1976444	27	12	6.52180573090218e-07	2.8991230219856e-06
SRR2873699	33	13	6.52457573088655e-07	2.8991230219856e-06
SRR2873534	31	12	6.6159247542789e-07	2.93756717374296e-06
SRR1573939	33	14	6.70133052292568e-07	2.97331827651035e-06
SRR1610244	25	12	6.72837703870927e-07	2.9831426768563e-06
SRR1333393	26	12	6.9775910289246e-07	3.09138282803702e-06
SRR1976448	31	12	7.4218790417669e-07	3.28582898188268e-06
SRR1802130	25	12	7.43983397721913e-07	3.29138255152174e-06
SRR1802148	25	12	7.47817693194521e-07	3.30594115385339e-06
SRR2873530	26	12	8.09528728970553e-07	3.57615341926498e-06
SRR1585487	26	14	8.15918920662355e-07	3.59915504671472e-06
SRR1585548	31	12	8.15918923133256e-07	3.59915504671472e-06
SRR2096971	29	12	8.21781742340953e-07	3.62239010047828e-06
SRR1585550	26	14	8.33535693735352e-07	3.67154064083428e-06
SRR627625	28	12	8.35569854896331e-07	3.67783750168913e-06
SRR1257249	25	12	8.45097142146011e-07	3.71708309159377e-06
SRR1802152	25	12	8.46930319365557e-07	3.72245457565078e-06
SRR1802140	31	12	8.66362899783625e-07	3.80511589847205e-06
SRR2064455	35	13	8.75942152496364e-07	3.84441278040071e-06
SRR1585555	32	12	9.07686845689196e-07	3.98086451501613e-06
SRR810102	33	13	9.21084540447889e-07	4.03671272301478e-06
SRR1585486	27	14	9.38595318536513e-07	4.11049339284205e-06
SRR1585544	31	12	9.57156539088112e-07	4.18590005613951e-06
SRR1535541	30	13	9.5719003420846e-07	4.18590005613951e-06
SRR1802129	25	12	1.04991850002937e-06	4.5881136750565e-06
SRR1585500	30	12	1.08272741670525e-06	4.72809108098927e-06
SRR2873704	33	13	1.08477823684893e-06	4.73364850412629e-06
SRR5345621	35	13	1.09304787254746e-06	4.76631556179657e-06
SRR1585501	31	12	1.11194150870242e-06	4.84522936779142e-06
SRR1535537	26	12	1.13688644725903e-06	4.95037956956096e-06
SRR2064451	33	13	1.15438592977696e-06	5.0229825542441e-06
SRR1257252	26	12	1.16183992515441e-06	5.05180290544265e-06
SRR3306583	27	12	1.23183734237186e-06	5.35233325260572e-06
SRR1802131	25	12	1.2846177533887e-06	5.577680081273e-06
SRR1585517	30	12	1.30482783569497e-06	5.6613892471701e-06
SRR1585502	28	14	1.39734678255236e-06	6.05848929313328e-06
SRR1585546	32	12	1.39940566934201e-06	6.06309450613064e-06
SRR1585499	26	14	1.43324247677419e-06	6.20527685851772e-06
SRR2873703	32	13	1.43736961324956e-06	6.21871931536067e-06
SRR1535538	26	12	1.45416581476848e-06	6.28691588574034e-06
SRR1257259	27	12	1.46379067747194e-06	6.3240331612655e-06
SRR1585516	27	12	1.50646702523188e-06	6.50378915151564e-06
SRR2874128	30	12	1.53381310467133e-06	6.61715256433737e-06
